# Source: https://nihongoaz.com/3000-most-common-japanese-words.html
# Japanese,Pronunciation,English Meaning
行く,iku,go
白菜,hakusai,Chinese cabbage
プロ野球,puroyakyuu,professional baseball
かみそり,kamisori,razor
何十,nanjuu,several tens
何百,nanbyaku,"several hundred, hundreds"
何千,nanzen,"several thousand, thousands"
がくんと,gakunto,"sharply, significantly"
飛び下りる,tobioriru,"jump off, jump down"
通行止め,tsuukoudome,road closed
行き止まり,ikidomari,dead end
真ん丸,manmaru,"perfect circle, perfectly round"
いつの間に,itsunomani,without anyone noticing
くっ付ける,kuttsukeru,"attach (something), stick (something)"
付け足す,tsuketasu,"add on, append"
得する,tokusuru,"profitable, beneficial"
損する,sonsuru,"lose, suffer loss"
言い返す,iikaesu,talk back
体温計,taionkei,(clinical) thermometer
後戻り,atomodori,"turning back, retreat"
話し声,hanashigoe,talking voice
くるくる,kurukuru,"round and round, spin"
怖がる,kowagaru,"be afraid of, fear"
人違い,hitochigai,mistaken identity
取り返す,torikaesu,"take back, regain"
乗り降り,noriori,getting on and off
口喧嘩,kuchigenka,quarrel
起き上がる,okiagaru,"get up, rise"
ぶら下がる,burasagaru,"hang down, dangle"
飛び上がる,tobiagaru,"fly up, fump up"
泣き声,nakigoe,"tearful voice, sound of crying"
持ち物,mochimono,one’s belongings
細長い,hosonagai,"long and thin, long and narrow"
出入り口,deiriguchi,"doorway, gateway"
正座,seiza,sitting on one’s heels
大喜び,ooyorokobi,great joy
落とし物,otoshimono,lost property
じゃんじゃん,janjan,"many times, repeatedly"
見違える,michigaeru,look completely different
合理的,gouriteki,"rational, logical"
自主的,jishuteki,"voluntary, independent"
全面的,zenmenteki,"full-scale, complete"
円高,endaka,strong yen
消費者,shouhisha,consumer
日中,nicchuu,Japan and China
明日,asu,tomorrow (rather formal)
結構,kekkou,"all right, no thank you"
辛い,tsurai,"hard, painstaking"
まずい,mazui,"problematic, troublesome"
上下,jouge,top and bottom
生,nama,"raw, fresh"
よける,yokeru,"avoid, dodge"
がやがや,gayagaya,"noisily, loudly"
赤ん坊,akanbou,(human) baby
ワープロ,waapuro,word processor
新聞社,shinbunsha,newspaper publisher
寝かす,nekasu,put (someone) to bed
者,mono,person (humble)
中,chuu,"middle, medium size"
性,sei,"gender, sexual activities"
会,kai,"meeting, association"
事,koto,"thing, incident"
今日,konnichi,these days
点,ten,"point (of concern), dot"
バック,bakku,"back, reverse"
記事,kiji,"article, story"
大,dai,"big, large size"
法,hou,"law, rule"
非常,hijou,emergency
ただ,tada,"simply, merely"
感じ,kanji,"feeling, impression"
環境,kankyou,"environment, surroundings"
理解,rikai,"understanding, comprehension"
県,ken,prefecture
使用,shiyou,use
主義,shugi,"principle, -ism"
国民,kokumin,citizen
下,moto,under (someone’s) supervision
場,ba,"occasion, situation"
労働,roudou,"labor, work"
機会,kikai,"opportunity, chance"
製品,seihin,"product, manufactured goods"
自身,jishin,self
かかる,kakaru,"catch (a cold, etc.), come down with"
求める,motomeru,"seek, yearn for"
下さる,kudasaru,give (honorific)
昨日,sakujitsu,yesterday (formal)
元,moto,"origin, former"
型,kata,"type, model"
それぞれ,sorezore,"each, respectively"
地方,chihou,local region
面,men,"surface, side"
実は,jitsuha,actually
夜,yoru,"night, evening"
地,chi,"ground, place"
議論,giron,"discussion, debate"
以前,izen,"before, ago"
専門,senmon,"specialty, profession"
申し上げる,moushiageru,"tell, say (humble)"
行動,koudou,"action, conduct"
率,ritsu,"ratio, rate"
監督,kantoku,"supervisor, film director"
意識,ishiki,"consciousness, awareness"
認める,mitomeru,"recognize, permit"
参考,sankou,"reference, consultation"
チーム,chiimu,team
現実,genjitsu,reality
価値,kachi,"value, worth"
テーマ,teema,"theme, subject matter"
含む,fukumu,"contain, include"
際,sai,"opportunity, time"
全て,subete,"all, everything"
大臣,daijin,minister
国家,kokka,"state, nation"
試合,shiai,"match, game"
結局,kekkyoku,"after all, finally"
消費,shouhi,"consumption, spending"
人生,jinsei,one’s life (to lead)
量,ryou,"quantity, amount"
精神,seishin,"mind, mentality"
レベル,reberu,level
我々,wareware,we (literary)
指導,shidou,"guide, instruction"
明日,myounichi,tomorrow (very formal)
資料,shiryou,"materials, data"
団体,dantai,"group, organization"
最も,mottomo,the most
完全,kanzen,"perfect, complete"
品,shina,"goods, item"
男性,dansei,"male, man"
軍,gun,military
描く,egaku,"depict, draw"
最終,saishuu,"final, last (of something repeated)"
センター,sentaa,"center (for an activity, etc.), hub"
障害,shougai,"obstacle, disorder"
医療,iryou,"medical service, healthcare"
頂く,itadaku,"receive, eat (humble)"
金融,kinyuu,finance
学ぶ,manabu,"learn, study"
成長,seichou,growth
登場,toujou,"appearance (on stage, etc.)"
知識,chishiki,knowledge
友人,yuujin,friend (formal)
イメージ,imeeji,image
トップ,toppu,"top, the best"
税,zei,tax
変更,henkou,"alteration, change"
限り,kagiri,limit
式,shiki,ceremony
展開,tenkai,"development, storyline (plot)"
興味,kyoumi,interest
含める,fukumeru,include
編集,henshuu,editing
選択,sentaku,"selection, choice"
無料,muryou,"no charge, free"
身,mi,"body, oneself, one’s status"
分析,bunseki,analysis
予算,yosan,budget
目標,mokuhyou,"target, goal"
通信,tsuushin,"correspondence, communication"
向ける,mukeru,"turn toward, point at"
時刻,jikoku,time (formal)
逆,gyaku,"reverse, opposite"
最高,saikou,"supreme, best"
利益,rieki,"profit, benefit"
事務,jimu,"office work, business"
出版,shuppan,"publishing, publication"
プロ,puro,professional
様々,samazama,"various, diverse"
州,shuu,"state, province"
共通,kyoutsuu,commonality
現代,gendai,"present age, modern times"
被害,higai,"damage, harm"
新た,arata,"new, fresh"
相当,soutou,"suitability, equivalence"
更新,koushin,"renewal, update"
得る,eru,"obtain, gain"
内,uchi,inside
維持,iji,"maintenance, upkeep"
料金,ryoukin,"charge, fee (for using facilities, etc.)"
到着,touchaku,arrival
なま物,namamono,uncooked food
章,shou,chapter
メンバー,menbaa,member
演奏,ensou,musical performance
案,an,"plan, idea"
希望,kibou,"hope, wish"
記憶,kioku,"memory, remembrance"
モデル,moderu,model
方々,katagata,people (polite)
発売,hatsubai,"launch, release (of a product)"
話題,wadai,"topic of conversation, being talked about"
目指す,mezasu,aim for
建築,kenchiku,"construction, architecture"
印象,inshou,impression
権利,kenri,"right, privilege"
学習,gakushuu,"study, learning"
発展,hatten,"development, expansion"
現場,genba,"scene, job site"
気分,kibun,"feeling, mood"
移動,idou,"movement, shift"
発行,hakkou,"publication, issue"
宗教,shuukyou,religion
改正,kaisei,"revision, amendment"
倍,bai,"double, times"
不安,fuan,"uneasy, worried"
自ら,mizukara,"(for) oneself, personally"
広告,koukoku,advertisement
共同,kyoudou,"joint, cooperation"
年代,nendai,"generation, era"
タイプ,taipu,type
差,sa,difference
営業,eigyou,"business, sales"
役割,yakuwari,"role, duty, responsibility"
改善,kaizen,improvement
撮影,satsuei,"photographing, shoot"
エネルギー,enerugii,energy
憲法,kenpou,"constitution, constitutional law"
感謝,kansha,"gratitude, thanks"
感覚,kankaku,"sense, feel"
旅,tabi,"journey, travel"
合わせる,awaseru,"match (something), adapt (oneself)"
既に,sudeni,already
現状,genjou,"current condition, situation"
先日,senjitsu,"the other day, a few days ago"
中央,chuuou,"center, middle"
似る,niru,"resemble, be alike"
平均,heikin,average
末,sue,"the end, in the end"
追加,tsuika,"addition, supplement"
なさる,nasaru,do (honorific)
様子,yousu,"the state of affairs, how someone appears"
活用,katsuyou,"practical use, application"
交換,koukan,"exchange, bartering"
整備,seibi,maintenance
想像,souzou,imagination
ああ,aa,"like that, that much"
満足,manzoku,"satisfaction, contentment"
以降,ikou,"thereafter, later than"
比較,hikaku,comparison
クラス,kurasu,"class, category"
犯罪,hanzai,"offense, crime"
おっしゃる,ossharu,"say, tell (honorific)"
特定,tokutei,"specifying, identifying"
基礎,kiso,"base, foundation"
流れ,nagare,"flow, stream"
どうも,doumo,"for no special reason, somehow"
村,mura,village
安定,antei,"stability, composure"
本人,honnin,"the person himself, the said person"
雰囲気,funiki,"atmosphere, mood"
会場,kaijou,"venue, site"
電子,denshi,"electron, electronic"
文,bun,sentence
範囲,hani,"range, scope"
常に,tsuneni,"always, at all times (formal)"
失う,ushinau,"lose, miss"
日常,nichijou,"everyday life, daily life"
回答,kaitou,"reply, answer"
体制,taisei,"system, structure"
調整,chousei,"regulation, adjustment"
疑問,gimon,"question, doubt"
応援,ouen,"support, cheering"
感想,kansou,"thought, impression"
解説,kaisetsu,"explanation, commentary"
シリーズ,shiriizu,series
公共,koukyou,"public, community"
民間,minkan,"private, civilian"
裁判,saiban,"trial, judgment"
組合,kumiai,"union, guild"
本来,honrai,"originally, primarily"
一体,ittai,what on earth
宇宙,uchuu,"universe, space"
申す,mousu,"say, tell (humble)"
図,zu,"figure, diagram"
クラブ,kurabu,club
観光,kankou,sightseeing
提出,teishutsu,"presentation, submission (of a report, plan, etc.)"
以来,irai,since then
離れる,hanareru,get away from
生,sei,"life, living"
性格,seikaku,"character, personality"
検査,kensa,"inspection, examination"
信頼,shinrai,"reliance, trust"
人物,jinbutsu,"character, person"
触れる,fureru,"touch, come in contact with"
記念,kinen,"commemoration, memory"
役,yaku,"role, part"
費用,hiyou,"expense, cost"
指定,shitei,"designation, appointment"
感情,kanjou,"feeling, emotion"
空,kara,"emptiness, hollow"
関わる,kakawaru,"be involved, be concerned"
仲間,nakama,"comrade, peer"
整理,seiri,"putting something in order, sorting out"
至る,itaru,"come to, reach"
独立,dokuritsu,"independence, self-reliance"
賞,shou,"prize, award"
誕生,tanjou,birth
いらっしゃる,irassharu,"come, go (honorific)"
都,to,metropolis of Tokyo
全員,zenin,"all members, entire staff"
明確,meikaku,clear and specific
少なくとも,sukunakutomo,"at least, at a minimum"
セット,setto,set
魅力,miryoku,"charm, attraction"
きちんと,kichinto,"properly, neatly"
手段,shudan,"means, way"
有効,yuukou,"effective, valid"
集中,shuuchuu,"concentration, convergence"
現象,genshou,phenomenon
感動,kandou,"to be impressed, to be touched"
禁止,kinshi,"prohibition, forbiddance"
会員,kaiin,"member (of an association, society, etc.)"
過ごす,sugosu,spend (time)
納得,nattoku,to fully understand and accept
収入,shuunyuu,income
レポート,repooto,"report, paper"
年齢,nenrei,age
舞台,butai,"stage, setting"
交通,koutsuu,"traffic, transportation"
他人,tanin,"other people, stranger"
組,kumi,"school class, group, pair"
否定,hitei,"denial, negation"
扱う,atsukau,"handle, deal with"
修正,shuusei,"correction, revision"
一応,ichiou,"tentatively, just in case"
生じる,shoujiru,"happen, occur"
訪問,houmon,visit
引用,inyou,"quotation, citation"
芸術,geijutsu,"art, arts and crafts"
解釈,kaishaku,"interpretation, explanation"
行,gyou,"line, row"
結論,ketsuron,conclusion
困難,konnan,"difficulty, hardship"
回復,kaifuku,"recovery, recuperation"
適用,tekiyou,"application, coverage"
集団,shuudan,"group, mass"
事態,jitai,"situation, state of affairs"
スタート,sutaato,"start, begin"
更に,sarani,"furthermore, still more"
活躍,katsuyaku,"(successful) performance, action"
命,inochi,life (colloquial)
医師,ishi,"doctor, physician (formal)"
おる,oru,"be present, stay (humble)"
現れる,arawareru,"appear, emerge"
講演,kouen,"lecture, talk"
瞬間,shunkan,moment
交流,kouryuu,"interaction, contact"
標準,hyoujun,"standard, norm"
まるで,marude,just like
スタイル,sutairu,"style, physique"
関心,kanshin,"concern, interest"
取り上げる,toriageru,"take, confiscate"
伝統,dentou,tradition
民主,minshu,democracy
制限,seigen,"restriction, limit"
投票,touhyou,"vote, ballot"
心理,shinri,"mentality, psychology"
大体,daitai,"about, anyway"
突然,totsuzen,suddenly
思想,shisou,"thought, conception"
応じる,oujiru,"answer, comply with"
不足,fusoku,"lack, shortage"
コード,koodo,cord
世の中,yononaka,"the world, society"
項目,koumoku,"item, topic"
旧,kyuu,"old, former"
次第,shidai,as soon as
長期,chouki,long period
著者,chosha,"author, writer"
罪,tsumi,"crime, sin"
楽,raku,"comfortable, easy"
操作,sousa,"operation, manipulation"
支配,shihai,"control, rule"
態度,taido,attitude
過程,katei,"process, course"
バランス,baransu,balance
連続,renzoku,"continuation, series"
機関,kikan,"agency, facility"
論,ron,"argument, theory"
島,tou,island
